"Title","News Body","Post date"
"Changelog - Scratchpads 2.5.3.3 (2014-10-23)","Release Changelog
Scratchpads 2.5.3.3 (2014-10-23)
- Prevent clearing of image width and height cache.
","Monday, November 10, 2014 - 11:08"
"Changelog - Scratchpads 2.5.3.2 (2014-10-20)","Release Changelog
Scratchpads 2.5.3.2 (2014-10-20)
- Patched a MAJOR bug with Drupal that could have resulted in sites being hacked. (https://www.drupal.org/SA-CORE-2014-005)
","Monday, November 10, 2014 - 11:07"
"Changelog - Scratchpads 2.5.3.1 (2014-09-15)","Release Changelog
Scratchpads 2.5.3.1 (2014-09-15)
- Fix an error that caused ""odd"" behaviour when importing into a user reference field by name (#4226)
","Monday, November 10, 2014 - 11:04"
"New Scratchpads Ambassador in the USA","Breda Zimkus is the 26th Scratchpads Ambassadors. Breda's research interests are focused on the biodiversity, biogeography, phylogenetics, taxonomy and conservation of amphibians and reptiles. She is particularly interested in the phylogenetic diversification of African amphibians, defining species boundaries and understanding the complex patterns of diversification across the continent.
Breda already maintains a Scratchpads site on African Amphibianshttp://africanamphibians.myspecies.info
Find out more about her athttp://scratchpads.eu/ambassador/breda-zimkus
","Tuesday, November 4, 2014 - 16:42"
"New Scratchpads Ambassador in Malaysia","Azman is a senior lecturer in the Marine Science Programme of the School of Environmental & Natural Resource Sciences and research fellow in the Marine Ecosystem Research Centre (EKOMAR) in Universiti kebangsaan Malaysia. Azman has a cumulative experience of 8 years in teaching basic and advance zoology courses, particularly in allied fields of marine science, and research. Academic experiences include more than 10 years of research studies in ecosystem processes and marine biodiversity. Collaborate with scientists around the South East Asian region (Thailand, Indonesia, Singapore) and also Germany, Australia, and Japan).
Find out more about him athttp://scratchpads.eu/ambassador/azman-abdul-rahim
","Monday, October 20, 2014 - 17:40"
"New Scratchpads Ambassador in Costa Rica","Our new Ambassador in Costa Rica is Eduardo Chacón. Eduardo has a MSc in Biology from Univesity of Costa Rica. He has been working in the University of Costa Rica since 2009, teaching in courses about ecology and Flora of Costa Rica and has been doing research with communities of trees in the southern of Costa Rica. Furthermore Eduardo is the manager of the Digital Herbarium ""Herbario Digital de Golfito"" (http://hergol.biologia.ucr.ac.cr/). Also, worked in a consultancy for Interamerican Biodiversity Information Network making the Information System of Invasive Species of Costa Rica (http://invasoras.acebio.org/).
http://scratchpads.eu/ambassador/eduardo-chacón
","Monday, September 29, 2014 - 14:55"
"Changelog - Scratchpads 2.5.3 (2014-08-14)","Release Changelog
Scratchpads 2.5.3 (2014-08-14)
- Delete unpublished anonymous forum nodes older than one week (likely to be spam)
- Ensure responsive images are still responsive
- Aggregate the species map view (#4210,#2461)
- Allow the updating of a WoRMS imported classification (#4205)
- Prevent half created terms (those that failed before creating the revision) from blocking the creation of additional terms (#4208)
- Add an error message to the WoRMS service for failed downloads
- Fix an error that could result in duplicate UUIDs from the Taxonomy Editor
- Allow more than 1024 chars in a taxonomy autocomplete field (#4195)
","Friday, August 15, 2014 - 11:18"
"Changelog - Scratchpads 2.5.2 (2014-07-15)","Release Changelog
Scratchpads 2.5.2 (2014-07-15)
- Added .gz to list of allowed extensions (#4194)
- Removed the emails sent to the Scratchpads team
- Ensure that taxonomy fields associated with multiple vocabularies don't mess up the validation formula and PermittedValues worksheet. (#4184)
- Only use identify command for files with specific extensions.  This is to ensure identify doesn't get used to try to identify very large video or audio files. (#3310)
- Updated Google Analytics .myspecies.info code
- Don't enable views caching on Publication views
- Allow importing of 0 into any field provided by the number module (#4004)
- Display coordinates when clicking on a point (#4159)
- Allow the select other field to work with the Tag API (#4166)
- Link the main image on the front page to its entity page (#4163)
- Clean up failed batches and TCS downloads
- Ensure filtering by filename hits files with upper case extensions (#4158)
- Allow altering the author of a node on import (#4143)
- Prevent ghost galleries from being displayed (#4155)
- Improved caching, which should improve the performance of sites
","Friday, August 15, 2014 - 11:17"
"Changelog - Scratchpads 2.5.1 (2014-06-13)","Release Changelog
Scratchpads 2.5.1 (2014-06-13)
- Fix a bug with Google Maps that prevented wide area points from displaying (#4150)
- Page results with large numbers of authors don't break the citation module (#4150)
- Various updates to the publication module
- AJAX/AHAH forms don't break CAPTCHA (#4147)
- Allow map fields to be added to the user entity/bundle
- Force update of taxonomy terms on ALL imports (no matter if data appears to have changed) (#4142)
- Allow 0 to be imported into text fields (#4004)
- Link to the importer page updated
- Enable the AdvAgg module to improve CSS and JS aggregation (#4101)
- Ensure sorting of Tinytax and TUI are ordered by weight (#4134)
- Try to prevent redirection loops (#4128)
- Dynamically set the resolution of the GBIF layer based on zoom
- Link to the results page of ReFindIt (#4105)
- Fix formatting of inline citations on taxon pages (#4118)
","Friday, June 13, 2014 - 15:59"
"Changelog - Scratchpads 2.5.0 (2014-05-07)","Release Changelog
Scratchpads 2.5.0 (2014-05-07)
New features
- Enable the revisioning of taxonomy terms (#3892)
- Replace Google Scholar module with ReFindit (#4105,#1174)
Bug fixes & Improvements
- Improve sorting of Biblio pages (#4110)
- Prevent  or  tags being presented on Scratchpads pages in the Issues... block (#4113)
- Fixed an issue with multiple taxonomy fields on biblio nodes (#4099)
- Minor presentation tweak (#3884)
- Aggregate slickgrid views on taxonomy pages (#4082)
","Monday, May 12, 2014 - 13:56"
"New Scratchpads Ambassador in Venezuela","Marco Gaiani is our new Ambassador from Venezuela and the third from South America. Marco is Curator of Hemiptera and Head of Biodiversity Informatics at Universidad Central de Venezuela, Museo del Instituto de Zoologia Agricola.
Learn more about him at http://scratchpads.eu/ambassador/marco-gaiani
","Wednesday, April 30, 2014 - 17:56"
"New Scratchpads Ambassador in Switzerland","Angelo Bolzern is our new Ambassador from Switzerland. Angelo is a postdoctoral researcher at the Natural History Museums of Basel.
Learn more about him at http://scratchpads.eu/ambassador/angelo-bolzern
","Friday, April 25, 2014 - 12:02"
"Changelog - Scratchpads 2.4.1 (2014-04-03)","Release Changelog
Scratchpads 2.4.1 (2014-04-03)
- Delete temporary files older than one month to free up valuable disk space
- Ensure description fields on files are imported as Filtered HTML, rather than plain text (#4076)
- Allow importing from CSV files (#4058)
- Display the GID of a group on the group edit page, and allow importing into a group (#4065)
- Repatched feeds_alter() to ensure alter functions happen in the correct order.
- Only display author names with references associated in facet autocomplete search box (#4057)
- Ensure menu tabs are correctly translated (#4063)
- Correctly import dates from Excel (no longer need to ensure that text is correctly formatted)
- Added Bigmenu as a tool (#3383)
- Allow access to the advanced help popup (#4044)
- Ensure the nomenclature block displays as expected (#3890)
- Prevent the editing of some views by users
- Delete entries from the feeds_item table with blank GUIDs (#4020,#4022)
- Export boolean values (#4004)
- Ensure the emonocot citation block is not cached (#4008)
- Some minor code fixes
","Monday, April 14, 2014 - 12:51"
"Changelog - Scratchpads 2.4 (2014-03-12)","Release Changelog
Scratchpads 2.4 (2014-03-12)
- Enable the use of a private file system (#909)
- Ensure taxonomy terms are available to search for the anonymous user (#3919)
- Add roles and permissions to Groups (#3961)
- Fix e-monocot portal feedback (#3465)
- Hide WCM ID field from nomenclature block (#2885)
- Fix and improve Slickgrid (#3992,#3899,#3896,#3713,#3231,#1317)
- Reduce the number of PHP errors, and log errors to syslog rather than the DB
- Ensure the entityconnectpreview module is enabled (#1297)
- Fix an issue on e-monocot sites that could prevent the synonyms tab from being displayed
- Enable a user to request a full site backup from Aegir (#2830)
- Enable bulk assigning of users to groups (#3443)
- Fix an issue on some migrated sites that prevents editing of user reference fields (#3430)
- Sort Solr search pages by creation date descending (#3963)
- Prevent orphaned terms appearing in autocomplete boxes (#3933)
- Prevent a Feeds template error (#3960)
- Possibly fix importing large numbers of terms from WoRMS (#3932)
- Flag up inactive Scratchpads, and mail users if they've never logged in
- Improve performance of the taxonomy formatter (#3080)
- Prevent the taxonomy editor from orphaning terms (#1436)
- Allow deletion of multiple terms in the taxonomy editor (#2900)
- Aggregate data on taxon pages (#2461)
- Sort fields in the Excel templates (#1977)
- Increase the sensitivity when dragging terms in the taxonomy editor (#2289)
- No longer use a jQuery CDN
- Delete EOL temp files (#3888)
- Fix an issue with the Biblio export links (#3889)
- Prevent taxon page headers from being displayed full div height (#3891)
- Display only relevant type specimens in the nomenclature block (#3714)
- Link images to their file entity to enable the popup (#3864)
- Prevent all images being resized then ""narrow"" version of the front page (#3866)
- Hide Group roles and permissions (#3865)
- Hide Vernacular name label if no values are present (#3772)
- Enable the ""Remember me"" feature if logging in via OpenID
- Upgraded Drupal to 7.26
- Export key files in DwC-A (#2295)
- Sort galleries by weight (#2992)
- Remember the status of the tinytax toggle checkbox between pages (#2343)
- Ensure validation is performed on import (#2208)
- Tag images attached to specimens (#3372)
- Add default weights for all images (#3396)
- Allow certain fields to be added/removed from additional entity/bundles (#3178)
- Renamed Moneran to Bacteria/Archaea
- Removed the CAPTCHA After, Mollom and Boost modules
- Display authors when searching by taxonomy (#3790)
- Attempt to export more than 65534 records (#3776)
- Ensure distribution and habitat changes can be saved (#3503)
- Ensure tabs in the Specimens Slickgrid can be switched between (#3747)
- Allow the Tinytax block to be hidden for anonymous users (#3773)
","Thursday, March 13, 2014 - 16:49"
"Export from BRAHMS into Scratchpads ","BRAHMS is a flexible database management system for botanical researchers and herbaria. In the latest version (v. 7.4.2) Brahms software is providing users with the option to export taxonomies, locations, specimens and people into a .csv format which can be directly imported into a Scratchpad site.
This new functionality enables researchers and research communities, who use BRAHMS as their primary botanical data management system, to quickly develop a Scratchpad site based on their existing botanical database making use of the added functionality Scratchpads provide for structuring, curating, linking and publishing biodiversity data.
You can download the latest version of BRAHMS from:http://herbaria.plants.ox.ac.uk/bol/brahms/Software
","Thursday, March 13, 2014 - 16:30"
"New Scratchpads Ambassador in Brazil","Simone Nunes is our new Ambassador in Brazil. Simone Nunes is a postdoctoral fellow at Universidade Federal do Rio Grande do Norte. Learn more about her at http://scratchpads.eu/ambassador/simone-nunes-brandao
","Friday, January 31, 2014 - 14:43"
"Changelog - Scratchpads 2.3.2 (2014-01-08)","Release Changelog
Scratchpads 2.3.2 (2014-01-08)
- Allow exporting of all references from a search, rather than just the first 100 (#1420)
- Batch the export of specimens to CSV/XML from the Slickgrid table (#3769)
- Add a user and node reference (GUID) column to import templates (#3755, #2487)
- Ensure that GUIDs in imports are GUIDs, and not IDs for a specific import (#3731)
- Prevent user 2 from being redirected to the setup work-flow when editing other users
- Clean up the user/%uid/edit/%profile form pages
- Enable subscribing of users to newsletters (#3750)
- Ensure that creation of Biblio nodes using a DOI works as expected (#3764)
- Allow setting of whether content in a group is public or private, and a general tidy of group permissions (#3721)
- Ensure that terms can always be toggled in Tinytax
- Load Tinytax dynamically, and cache the data in Varnish
- Moved CC images to our own mirror which can be cached by Varnish (actually quicker than CC's own server)
- Fix the autocomplete for associating a user with a biblio author (#2954)
- Allow twitter feeds on the front page of a site, and hide the users' twitter settings page (#3711)
- Tweaked the default sort order for Slickgrid views (#3199)
- If T&Cs have been tweaked, link to them, otherwise link to the default scratchpads.eu page
- Enable adding of media by URL as well as file upload (#867)
- Advise users that deleting a gallery does not delete the images in it (#1099)
- Add a description to the Media field (#1104)
- Allow filtering of the users pages (#3724)
- Remove the confusing HTML option for newsletters (it is not supported) (#3701)
","Thursday, January 9, 2014 - 11:27"
"New monthly visitors record!","During the last month (November 2013) Scratchpads sites had 55,556 unique visitors and over 258,000 pageviews.
","Monday, December 9, 2013 - 16:21"
"Changelog - Scratchpads 2.3.1 (2013-12-05)","Release Changelog
Scratchpads 2.3.1 (2013-12-05)
- Upgraded Drupal to 7.24 (#3495)
- Display a preview of an entity when using the entityconnect widget (#3495)
- Enable importing into a file field using a URL (#1456)
- Clean up the WYSIWYG Media options (#1971)
- Order the Taxonomy search autocomplete (#3679)
- General testing bug fixes (#107)
- Allow the upload of KMZ files (#3673)
- Prevent duplication of tags on biblio nodes (#3657)
- Order of terms in Tinytax/TUI (#3078)
- Ensure taxonomy hierarchies are imported correctly (#3663)
- Remove our use of the term ""moneran"" (#3638)
- Improved performance of the Tinytax block
- Increased the sensitivity of our spam detection
- Removed a link to GBIF's ECAT (#3645)
- Move to using Varnish, rather than Boost (#3049)
- Italics for series and subseries (#3638)
- Prevent disabling of tools if they're in use (#3635)
- Display unit indicators and names correctly (#3222)
- Display Volume when selecting biblio nodes in an autocomplete field (#3527)
- Bandaged an issue with caching (#3503)
- Use WYSIWYG editor for the Remarks field (#3567)
- Refresh the admin paths when enabling a tool (#3623)
","Friday, December 6, 2013 - 10:00"
"A new translation service for Scratchpads","We have dropped the Google Translate Toolkit as a facilitator in translating Scratchpads interface and set-up a new more user friendly and intuitive system.
The new service is very similar to the Drupal Localize server. It should be used by translators from around the world to maintain localizations of the Scratchpads.
Just pick your language and you'll be able to download existing work and contribute to the translations. You can find more information on http://localize.scratchpads.eu
Once again, thanks to all of you who are actively helping us translate Scratchpads in your language!
","Tuesday, November 19, 2013 - 18:07"
"See how we are doing","Over the last 3 years we have received c .180 feedback forms from people that have participated in our Scratchpads training courses.
Download the .pdf to get an overview of the aggregated results of all the submitted forms.
","Thursday, November 14, 2013 - 16:56"
"Changelog - Scratchpads 2.3.0 (2013-11-06)","Release Changelog
Scratchpads 2.3.0 (2013-11-06)
- Added the Publication tool
- Ensure the Groups feature can be complete disabled (#3348)
- Sort groups pages chronologically descending (#3608)
- Various publication module fixes
- Minor Slickgrid fix to allow Slickgrid views to be easily edited
- Allow site maintainers to specify whether anonymous users can post comments
- Prevent the colorbox popup appearing when clicking on view/cancel from the delete page (#3533)
- Added the authority name to taxonomy autocomplete boxes to help distinguish homonyms (#3527)
- Index most file types, in addition to media (#793)
- Minor performance improvement for large classifications
- Allow Fields added to Biblio records to be updated using the Excel importer
- Allow associating content with a file in imports (#3494)
- Ensure required and permitted values are included in templates (#3521)
","Wednesday, November 6, 2013 - 17:12"
"Do you want your Scratchpad on the first page?","If you want your site to be featured on the first page of scratchpads.eu, please send to scratchpads@nhm.ac.uk the URL of your site and a brief description (max. 35 words). This is an open call so please feel free to send us your emails at anytime.
","Thursday, October 24, 2013 - 17:33"
"We changed our release frequency pattern","Scratchpads are changing their release frequency pattern. We are going to release a new version of Scratchpads every first Wednesday of each month. Our next release is planned for Wednesday 6 November. Visit Scratchpads.eu to stay updated for bug fixes and new features in every release.
","Tuesday, October 22, 2013 - 11:02"
"Looking for Beta testers: BRAHMS integration","BRAHMS (Botanical Research And Herbarium Management System) and Scratchpads have traveled all the way to to bring the two systems close together. As we are in the last phase of the testing before releasing, we are looking for beta testers to test the export functionality of BRAHMS to Scratchpads.
To participate you will need to actively maintain a BRAHMS database.
If you are interested please send an email to scratchpads@nhm.ac.uk until Oct 15 2013.
","Thursday, October 10, 2013 - 15:00"
"Changelog - Scratchpads 2.2.0 (2013-10-09)","Release Changelog
Scratchpads 2.2.0 (2013-10-09)
- Added the Citations tool (#3130)
- Fixed an issue with the Biography feature (#3473)
- Prevent failed imports from being restarted (#3439)
- Updated to DwC-Archives (#3405, #3400)
- Display the users on three tabs (All/People/Users) (#3285)
- Ensure the Groups feature enables fully (#3330)
- Added the views_date_format_sql module for grouping views by dates (#3492)
- Ensure the XLS templates are created correctly when using multiple application servers (#3467)
- Simplify the configuration of site information (all from front page) (#3306)
- Prevent the import of empty strings by feeds (#3237)
- Allow use of regular expressions in Slickgrid filters (#3102)
- Allow sidebar tabs to be as wide as they need to be (#3308)
- Only display the specimens tab when required (#3445)
- Show optgroups for role delegation (#3448)
","Wednesday, October 9, 2013 - 14:31"
"Changelog - Scratchpads 2.1.10 (2013-09-25)","Release Changelog
Scratchpads 2.1.10 (2013-09-25)
- Fixed the twitter filter (3288)
- Fixed an issue with cloned nodes and UUIDs (3384)
- Display the full reference when hovering over a biblio citation (3395)
- Improved error message for RefBank import (3020)
- Enable the hiding of PDF attachments associated with biblio nodes (3404)
- Tweak the meta.xml file in DwC-A exports (3400)
- Ensure Darwincore and other modules warn users when being disabled (3271)
- Clean up a bug with Darwincore when disabled (3067)
- Reorder facets on search pages (2244)
- Prevent redirecting of non-admin users when adding certain nodes (3444)
- Add validation to user/people import (3374)
- Ensure content type publishing options can be updated (3433)
- Prevent jumping numbers in certain pagers (3329)
- Only display the BHL magnifying glass if required (3093)
- Export TID and Name for a taxonomic name field (3414)
- Prevent periodic import failures (3392)
- Prevent the ShareThis widget appearing multiple times on a page (3284)
- Minor changes to facilitate offline Scratchpads Training courses
- Partial fix for incorrect species occuring in the IUCN box (3321)
- Prevent a ""Missing relationship"" warning (3328)
- Ensure the IUCN and other widgets display correctly (3385)
- Fixed (3393, 3402, 3386)
","Wednesday, September 25, 2013 - 15:14"
"Visit us during the Science Uncovered event","On Friday 27 September the Natural History Museum is organising the annual Science Uncovered event in the framework of the European Researcher's night EU initiative. If you want to learn more about Scratchpads and how we facilitate research and dissemination of research results come along on Friday.
The Scratchpads team will be located in the Museum's main hall between 18.00 - 20.00
Learn more about Science Uncovered
","Wednesday, September 25, 2013 - 12:46"
"Changelog - Scratchpads 2.1.9 (2013-09-11)","Release Changelog
Scratchpads 2.1.9 (2013-09-11)
- Ensure the EOL TCS import works (#3318)
- Export TID rather than name for the Excel template (#3362)
- Various EOL DwC-A fixes
- Display the copyright owner and the licence on the front page slideshow (#3105)
- Ensure single value facets display correctly (#3298)
- Fixed a bug with the filter on content views (#3317)
- Ensure all biography fields are exported in the template files (#3370)
- Display 56 media items on gallery pages (#3282)
- Allow specifying by labels for text fields (#3375)
- Fixed an issue that prevented images from being uploaded (#3299)
- Minor fix to the ""Make this profile public"" option (#3378)
- Display author names even when they can not be parsed (#3365)
","Wednesday, September 11, 2013 - 16:20"
"Our new Ambassador in India","We are pleased to announce that Arpit Deomurari is our first Scratchpads Ambassador located in India. Arpit is Deputy manager of GIS & Biodiversity Informatics in the Foundation for Ecological Security in Anand, Gujarat, India, Please read more about Arpit here.
","Friday, August 30, 2013 - 10:26"
"Changelog - Scratchpads 2.1.8 (2013-08-28)","Release Changelog
Scratchpads 2.1.8 (2013-08-28)
- Only include approved comments in DwC-A exports (#3144)
- Added honeypot to help fight spam user account submissions (#3238)
- Weighting option on taxon description pages (#2446)
- Support for user biographies (#3202)
- Allow for biblio citation style settings (#3053)
- Allow People to have login access (#3219)
- Fix image upload issue (#3303)
- Use GBIG taxonomic status values in DwC-A exports (#2406)
- Remove hyperlink from references in DWC-A exports (#3055)
- Remove Group content type when Groups are disabled (#3074)
- Separate media links on node edit form (#1478)
- Prevent duplicate terms from being added to autotag taxonomies (#3236)
- Theme the media browser (#1962)
","Wednesday, August 28, 2013 - 12:58"
"Changelog - Scratchpads 2.1.7 (2013-08-14)","Release Changelog
Scratchpads 2.1.7 (2013-08-14)
- Added the tracker module as a tool (#931)
- Ensure that certain configuration pages are hidden
- Added the Spambot and Captcha modules to help prevent spam (#3187)
- Delete any spam comments that may have been received (#3187)
- Display the TID and GUID in the Taxonomy editor (#2878)
- Allow uploading of SVG and TIFF images (#1511)
- Ensure that users can set width/height/align attributes on images (#2852)
- Automatically tag biblio records based on keywords (#2047)
- Allow basic GM3 configuration (#976)
- Performance improvements (#1407)
- Prevent displaying of duplicate references on the taxon page biblio tab (#3235)
- Prevent locking of the body field so that it may be removed from content types
- Added a message to the Contact Us form stating that the message is for the site maintainer
- Ensure a classification may be exported when the hierarchy is broken
- Display all rights reserved (#2973)
- Cache the Remote Issues Tab to improve performance
- Fixed a display issue with the forum sidebar (#3210)
- Allocate more memory for the Feeds XLS import
- Character editor bug fixed (#3200)
- Allow externally hosted Scratchpads to tweak their own configuration/user 1
- Allow filtering by any field in the VBO views (#3104)
- Fixed a bug with Slickgrid and views with arguments
- Only show NCBI data for valid terms (#2190)
- Display user references as full names (#2735)
","Wednesday, August 14, 2013 - 13:11"
"Service bulletin","Issue status: Closed
Type: Service interruption
Severity: High - affecting all users
Handled by: NHM ICT
Issue commencing: 2013-08-20 18.00 (GMT+1)
Issue closed: 2013-08-20 23.00 (GMT+1)
Description
On Tuesday 20 August between 18:00 and 23:00 (GMT+1), The Natural History Museum ICT will be performing vital upgrades to the Museum’s IT infrastructure. This work will require a period of network downtime. As a result Scratchpads will not be available during this time. This includes all subdomains of myspecies.info, e-monocot.org and scratchpads.eu domains.
The upgrade will enable ICT to provide better resilience to core IT hardware and improve the reliability and availability of hosted services.
We apologise for any inconvenience this may cause.
This bulletin will close when the service is again fully functional
","Tuesday, August 13, 2013 - 16:00"
"Changelog - Scratchpads 2.1.6 (2013-07-31)","Release Changelog
Scratchpads 2.1.6 (2013-07-31)
 - Italicise subgeneric ranked taxa (#3138)
 - Enabled the editing of a site's URL aliases
 - Minor DwC-A additions for image metadata
 - Enable harvesting of site categories for the stats pages (#110)
","Wednesday, July 31, 2013 - 15:50"
"Changelog - Scratchpads 2.1.5 (2013-07-17)","Release Changelog
Scratchpads 2.1.5 (2013-07-17)
- Various DwC-A bug fixes
- Tweaks to the presentation of Scratchpads statistics (#110)
- Prevent empty field_collection items from being created by Feeds imports (#3106)
- Added Vice Counties to the GM3 Regions (#2109)
- Character editor bug fixes (for those with the Character editor enabled) (#3129, #3125, #3127, #3099, #3113, #1210 #3108, #2262, #3097, #3098, #3095, #3096, #3112)
- Display the Entity/Bundle on search results pages (#3109)
- Added quotes to the Google Scholar API searches to get more specific results (#3124)
- Prevent deleting of stock Scratchpads fields (#3077)
- A link to open GeoCAT using the CSV view has been added to relevant taxon pages (#2431)
- Prevent each site from running Optimize on the Solr server
- Ensure hidden pages are correctly hidden
- Added SCRATCHPADS_VERSION constant for displaying of the Scratchpads version number
- Generate COinS on Biblio pages (#3082)
- Renamed the Taxonomy description field to Comments (#882)
","Wednesday, July 17, 2013 - 17:31"
"Rapid Conservation Assessments through GeoCAT","In collaboration with Kew Gardens you can now directly import your georeferenced specimens to GeoCAT .
GeoCAT is designed to produce rapid species level conservation assessments based on IUCN Red List Categories and Criteria (IUCN 2001). Through an easy to use interface with a familiar Google Map underlay, you can upload primary occurrence data for a species and at the click of a button, calculate values relating to the geographic range of a species.
Learn how here
","Friday, July 12, 2013 - 11:49"
"The Natural History Museum Informatics Horizons","25 speakers showcase, demonstrate and describe Biodivesity tools and digital projects. See the analytical programme here
","Monday, July 8, 2013 - 17:45"
"Changelog - Scratchpads 2.1.4 (2013-07-03)","Release Changelog
Scratchpads 2.1.4 (2013-07-03)
- Updates redirect module to the latest ""dev"" version (Fixes a duplicate hashes issue)
- Display Scratchpads version on eMonocot sites (#2965)
- Tweak the taxonomy term description field (#882)
- Allow hiding of SPM fields (#911)
- Fixed issues with import/saving SPM (#2785, #2956)
- Updates to Scratchpads Statistics
- Hide the Character project (#3019)
- Prevent access to certain pages
- Check for missing files and delete records from the database (#3035)
- Created a specific CSV file for Ecological Niche modelling
- Further tweaks to the DwC-A
- Fix cloning of Biblio nodes (#3037)
","Wednesday, July 3, 2013 - 12:53"
